host_id,ts,n_flows,n_distinct_ports,n_distinct_dsts,total_bytes,mean_duration,failed_logins,top_service,n_alerts,attack_family,label
h000,2024-03-01 00:00:00,21,5,8,61512,0.43392653343863974,0,http,0,benign,0
h001,2024-03-01 00:00:00,13,5,8,37256,0.4580671640545112,0,http,0,benign,0
h002,2024-03-01 00:00:00,11,3,7,31383,0.3182062712507804,1,http,0,benign,0
h003,2024-03-01 00:00:00,2,2,2,5973,0.7226639943505682,0,http,0,benign,0
h004,2024-03-01 00:00:00,2,2,2,572972,8.418579873835204,0,ssh,0,benign,0
h005,2024-03-01 00:00:00,6,3,4,76837,0.45085045583880223,0,dns,0,benign,0
h006,2024-03-01 00:00:00,14,4,6,63296,0.48676007781711983,0,http,1,benign,0
h007,2024-03-01 00:00:00,14,4,5,33076,0.7326768510268852,0,http,0,benign,0
h008,2024-03-01 00:00:00,8,4,4,10474,0.42385550353231294,0,http,0,benign,0
h009,2024-03-01 00:00:00,17,5,6,78475,0.6092662445959862,0,http,0,benign,0
h010,2024-03-01 00:00:00,13,5,8,41397,0.44712668842810754,0,http,0,benign,0
h011,2024-03-01 00:00:00,12,3,8,87650,0.8431671491108378,0,http,0,benign,0
h012,2024-03-01 00:00:00,13,5,7,85330,0.3731928229192699,1,http,0,benign,0
h013,2024-03-01 00:00:00,11,4,6,23538,0.51572014695232,0,http,0,benign,0
h014,2024-03-01 00:00:00,26,5,8,71866,0.42189428820976216,0,http,0,benign,0
h015,2024-03-01 00:00:00,16,4,7,133160,0.998385929506687,0,http,0,benign,0
h016,2024-03-01 00:00:00,11,5,6,76078,0.5052029695056663,0,http,0,benign,0
h017,2024-03-01 00:00:00,6,3,3,24269,0.5859464392317181,0,dns,0,benign,0
h018,2024-03-01 00:00:00,13,5,6,85306,0.7357608755618921,0,http,0,benign,0
h019,2024-03-01 00:00:00,7,3,4,27876,0.7215392824571991,0,http,0,benign,0
h020,2024-03-01 00:00:00,11,5,5,28113,0.6593927979432117,0,http,0,benign,0
h021,2024-03-01 00:00:00,4,2,3,18886,0.7524343595895089,0,http,0,benign,0
h022,2024-03-01 00:00:00,14,4,6,25719,0.5742754827241053,0,http,0,benign,0
h023,2024-03-01 00:00:00,20,4,6,45462,0.6161369710202338,0,http,0,benign,0
h024,2024-03-01 00:00:00,4,3,3,8076,0.6883522494996523,0,http,0,benign,0
h025,2024-03-01 00:00:00,55,53,33,146814,0.4783719929218988,0,other,0,benign,0
h026,2024-03-01 00:00:00,10,3,6,48271,0.9507498541723421,0,http,0,benign,0
h027,2024-03-01 00:00:00,1,1,1,1707,0.37021228665229566,0,http,0,benign,0
h028,2024-03-01 00:00:00,7,3,4,6036,0.3434159022916802,0,http,0,benign,0
h029,2024-03-01 00:00:00,23,4,8,97317,0.41691851763103616,0,http,0,benign,0
h030,2024-03-01 00:00:00,9,4,6,62243,0.31926313750182733,0,http,0,benign,0
h031,2024-03-01 00:00:00,24,5,8,84643,0.5358668415615518,1,http,0,benign,0
h032,2024-03-01 00:00:00,12,4,7,65822,0.6863027389534775,0,http,0,benign,0
h033,2024-03-01 00:00:00,10,5,6,28097,0.23745267829412753,0,http,0,benign,0
h034,2024-03-01 00:00:00,59,57,31,181977,0.7747526777760768,0,other,0,benign,0
h035,2024-03-01 00:00:00,7,4,5,16885,1.1918694759558641,0,http,0,benign,0
h036,2024-03-01 00:00:00,6,4,5,44421,1.0378780091505606,0,http,0,benign,0
h037,2024-03-01 00:00:00,18,5,7,60315,0.36419128519873106,2,http,0,benign,0
h038,2024-03-01 00:00:00,16,4,7,39725,0.3364912579732571,1,http,0,benign,0
h039,2024-03-01 00:00:00,25,5,7,55332,0.5316694680548021,0,http,0,benign,0
h040,2024-03-01 00:00:00,87,78,57,5250,0.059652649430516444,0,other,1,portscan,1
h041,2024-03-01 00:00:00,6,4,4,21383,0.9884094186730307,0,http,0,benign,0
h042,2024-03-01 00:00:00,80,76,58,5242,0.05716309747301644,0,other,1,portscan,1
h043,2024-03-01 00:00:00,4,3,3,18205,0.2392599115360647,0,http,0,benign,0
h044,2024-03-01 00:00:00,10,4,5,127231,0.35547818672993403,0,http,0,benign,0
h045,2024-03-01 00:00:00,6,4,4,26345,0.43410467129394464,0,http,0,benign,0
h046,2024-03-01 00:00:00,48,5,8,302996,0.6456811551866338,0,http,0,benign,0
h047,2024-03-01 00:00:00,8,4,7,89529,0.8014678013547412,0,http,0,benign,0
h048,2024-03-01 00:00:00,32,5,8,100988,0.6220464560013563,1,http,0,benign,0
h049,2024-03-01 00:00:00,16,5,8,56786,0.5056844267014576,0,http,0,benign,0
h050,2024-03-01 00:00:00,12,4,6,52851,0.5517211932830716,0,http,0,benign,0
h051,2024-03-01 00:00:00,13,4,6,63003,0.7717681045609704,0,http,0,benign,0
h052,2024-03-01 00:00:00,59,55,32,185891,0.7143919760858749,0,other,0,benign,0
h053,2024-03-01 00:00:00,28,5,8,89919,0.7253671436800619,1,http,0,benign,0
h054,2024-03-01 00:00:00,55,48,32,238528,0.35729356908709076,0,other,0,benign,0
h055,2024-03-01 00:00:00,3,3,3,6493,0.32643074011563805,0,http,0,benign,0
h056,2024-03-01 00:00:00,5,2,2,4281427,16.513654120635895,0,ssh,0,benign,0
h057,2024-03-01 00:00:00,14,4,7,46261,1.3984634360211423,0,http,0,benign,0
h058,2024-03-01 00:00:00,5,2,2,1742806,11.07598358399195,0,ssh,0,benign,0
h059,2024-03-01 00:00:00,14,5,7,51251,0.4329579958229036,0,http,0,benign,0
h000,2024-03-01 01:00:00,5,3,4,21101,0.5133378712258866,0,ssh,0,benign,0
h001,2024-03-01 01:00:00,8,3,5,34925,0.4816266293131557,1,http,0,benign,0
h002,2024-03-01 01:00:00,10,5,7,41083,1.2532791680473365,0,http,0,benign,0
h003,2024-03-01 01:00:00,58,55,38,4357,0.052884177239849325,0,other,1,portscan,1
h004,2024-03-01 01:00:00,1,1,1,376,0.5388697433242776,0,smtp,0,benign,0
h005,2024-03-01 01:00:00,9,4,6,44438,0.43445017347692283,1,http,0,benign,0
h006,2024-03-01 01:00:00,1,1,1,1539,0.054526740732868346,0,http,0,benign,0
